ID,cx_left,cy_left,cx_right,cy_right,cx_world,cy_world
2,204,210,146,226,624.0,471.0
9,205,213,148,223,623.0,483.0
10,205,214,146,224,622.0,485.0
12,205,214,151,222,622.0,483.0
13,203,214,148,226,622.0,481.0
17,204,213,151,223,622.0,492.0
18,205,215,151,223,624.0,490.0
19,204,215,152,222,626.0,487.0
20,205,215,148,227,626.0,481.0
27,204,222,151,215,625.0,407.0
28,203,218,152,220,624.0,396.0
29,201,214,151,225,624.0,384.0
30,201,210,152,230,623.0,371.0
31,201,206,152,234,623.0,359.0
32,202,203,153,237,621.0,347.0
33,202,201,152,239,619.0,337.0
34,202,197,151,242,616.0,323.0
35,203,193,150,246,612.0,301.0
36,203,187,150,249,609.0,277.0
37,202,184,148,252,609.0,256.0
38,202,180,148,257,607.0,230.0
39,202,177,148,262,606.0,205.0
40,202,173,147,265,604.0,182.0
41,203,168,147,270,606.0,168.0
42,203,166,146,271,606.0,154.0
43,203,165,146,274,607.0,138.0
44,202,163,147,276,610.0,117.0
45,202,161,147,279,613.0,100.0
46,202,159,148,281,614.0,80.0
47,201,156,147,284,616.0,61.0
48,201,154,148,287,619.0,39.0
49,201,151,148,291,619.0,12.0
81,186,156,168,295,743.0,7.0
82,185,157,168,294,746.0,12.0
83,185,159,168,293,749.0,31.0
84,184,160,169,291,754.0,46.0
85,184,162,170,289,757.0,56.0
86,183,164,170,287,760.0,70.0
87,183,166,171,286,765.0,83.0
88,181,168,172,285,771.0,102.0
89,181,170,172,283,773.0,113.0
90,181,172,172,281,775.0,124.0
91,180,173,173,279,778.0,136.0
92,179,174,173,279,782.0,144.0
93,180,175,174,277,785.0,153.0
94,180,177,174,275,786.0,165.0
95,179,179,174,273,786.0,177.0
96,179,180,174,271,785.0,189.0
97,179,182,173,270,784.0,201.0
98,179,183,173,268,782.0,215.0
99,179,185,174,266,782.0,228.0
100,179,187,173,265,782.0,236.0
101,180,188,172,262,783.0,245.0
102,179,189,172,260,781.0,258.0
103,180,191,173,259,783.0,270.0
104,179,193,173,257,785.0,281.0
105,179,194,174,256,786.0,288.0
106,179,195,174,254,791.0,299.0
107,178,196,175,254,795.0,306.0
108,178,197,175,252,797.0,316.0
109,178,199,175,251,800.0,327.0
110,178,200,176,248,804.0,335.0
111,178,202,177,247,805.0,344.0
112,178,204,177,246,806.0,355.0
113,178,206,177,244,805.0,364.0
114,178,208,177,242,806.0,372.0
115,177,209,178,242,803.0,379.0
116,178,211,177,239,802.0,388.0
117,178,212,177,238,802.0,393.0
118,179,213,176,237,799.0,392.0
119,179,213,175,238,798.0,391.0
120,179,214,176,237,797.0,392.0
121,180,215,176,237,795.0,398.0
122,180,217,176,235,794.0,407.0
123,180,220,176,234,796.0,421.0
124,180,222,177,231,799.0,433.0
125,182,222,177,228,801.0,445.0
126,181,227,177,225,801.0,459.0
128,179,207,180,220,801.0,472.0
129,179,210,180,217,803.0,479.0
130,179,212,180,215,801.0,486.0
131,178,214,179,214,799.0,495.0
132,179,216,182,213,797.0,502.0
133,179,218,179,208,796.0,510.0
134,179,220,179,207,798.0,513.0
135,181,220,179,206,796.0,515.0
136,180,220,180,213,795.0,517.0
137,179,220,179,205,796.0,517.0
138,179,219,178,205,798.0,517.0
139,180,220,179,204,797.0,519.0
140,181,222,178,202,795.0,525.0
141,180,222,179,200,793.0,534.0
142,181,222,178,199,789.0,542.0
152,191,216,161,204,695.0,513.0
153,190,210,160,210,688.0,504.0
154,193,216,158,209,678.0,502.0
156,200,231,157,209,656.0,505.0
157,198,229,158,211,653.0,504.0
158,199,228,157,212,648.0,500.0
159,199,227,157,213,647.0,500.0
160,199,227,157,213,648.0,499.0
161,199,227,157,213,648.0,497.0
162,199,226,157,214,649.0,494.0
163,199,226,157,214,652.0,491.0
164,199,226,158,215,656.0,491.0
165,198,225,158,215,655.0,489.0
166,199,225,159,215,658.0,491.0
167,198,226,159,214,661.0,493.0
168,198,227,160,212,666.0,505.0
169,198,229,160,212,668.0,508.0
170,198,229,160,212,668.0,506.0
171,198,228,160,213,669.0,500.0
172,197,226,160,215,670.0,493.0
173,197,224,160,216,672.0,488.0
174,197,224,160,217,671.0,485.0
175,197,224,159,217,670.0,484.0
176,197,223,159,218,668.0,477.0
177,198,222,159,218,667.0,474.0
178,197,222,158,219,666.0,473.0
179,197,220,157,219,666.0,471.0
180,196,217,159,222,668.0,466.0
181,195,216,159,223,673.0,458.0
182,195,214,160,224,676.0,446.0
183,195,212,159,227,676.0,428.0
184,194,211,159,229,677.0,418.0
185,194,209,160,230,677.0,409.0
186,194,208,159,231,675.0,400.0
187,194,206,159,232,674.0,391.0
188,194,205,158,234,674.0,386.0
189,194,204,158,234,672.0,381.0
190,194,204,158,235,671.0,377.0
191,193,203,158,235,670.0,373.0
192,194,202,157,236,668.0,368.0
193,194,201,158,238,671.0,361.0
194,193,200,158,239,672.0,354.0
195,193,199,158,240,676.0,347.0
196,192,198,159,241,678.0,339.0
197,192,197,159,242,681.0,331.0
198,192,196,159,243,682.0,323.0
199,191,195,159,244,683.0,313.0
200,191,194,159,246,683.0,304.0
201,191,193,160,248,686.0,293.0
202,191,190,160,251,687.0,281.0
203,190,189,160,253,690.0,268.0
204,190,187,160,255,693.0,257.0
205,189,185,160,257,694.0,245.0
206,189,183,161,258,696.0,233.0
207,188,181,161,261,697.0,220.0
208,188,180,162,263,700.0,207.0
209,188,178,162,266,704.0,195.0
210,187,176,162,268,708.0,182.0
211,187,175,163,269,712.0,171.0
212,186,173,164,271,718.0,160.0
213,185,171,166,274,726.0,147.0
214,184,170,166,276,731.0,136.0
215,184,169,167,277,735.0,126.0
216,183,168,167,279,736.0,119.0
217,183,166,168,280,742.0,106.0
218,183,165,169,283,745.0,97.0
